case,dilution,statistic,standard,tolerance,status
manual_validation,2,mean,15.24,0.006,对应（原文按两位小数）
manual_validation,2,corrected_concentration,304.78,0.006,对应（原文按两位小数）
manual_validation,2,recovery,104.4,0.05,对应（原文按一位小数）
manual_validation,3,mean,31.74,0.006,对应（原文按两位小数）
manual_validation,3,corrected_concentration,634.78,0.006,对应（原文按两位小数）
manual_validation,3,recovery,98.1,0.05,对应（原文按一位小数）
manual_validation,4,mean,53.67,0.006,对应（原文按两位小数）
manual_validation,4,corrected_concentration,1073.35,0.006,对应（原文按两位小数）
manual_validation,4,recovery,94.8,0.05,对应（原文按一位小数）
manual_validation,5,mean,92.41,0.006,对应（原文按两位小数）
manual_validation,5,corrected_concentration,1848.28,0.006,对应（原文按两位小数）
manual_validation,5,recovery,101.3,0.05,对应（原文按一位小数）
auto_validation,1,mean,23.68,0.006,对应（原文按两位小数）
auto_validation,1,corrected_concentration,47.36,0.006,对应（原文按两位小数）
auto_validation,1,recovery,105.4,0.05,对应（原文按一位小数）
auto_validation,2,mean,26.44,0.006,对应（原文按两位小数）
auto_validation,2,corrected_concentration,52.88,0.006,对应（原文按两位小数）
auto_validation,2,recovery,98.3,0.05,对应（原文按一位小数）
auto_validation,3,mean,35.44,0.006,对应（原文按两位小数）
auto_validation,3,corrected_concentration,70.88,0.006,对应（原文按两位小数）
auto_validation,3,recovery,113.7,0.05,对应（原文按一位小数）
auto_validation,4,mean,35.98,0.006,对应（原文按两位小数）
auto_validation,4,corrected_concentration,71.95,0.006,对应（原文按两位小数）
auto_validation,4,recovery,105.3,0.05,对应（原文按一位小数）
auto_validation,5,mean,37.51,0.006,对应（原文按两位小数）
auto_validation,5,corrected_concentration,75.02,0.006,对应（原文按两位小数）
auto_validation,5,recovery,100.0,0.05,对应（原文按一位小数）
appendix_c1,neat,mean_recovery,100.00,0.10,对应（原文中间量经舍入）
appendix_c1,neat,lower_ci,100.00,0.10,对应（原文中间量经舍入）
appendix_c1,neat,upper_ci,100.00,0.10,对应（原文中间量经舍入）
appendix_c1,1/2,mean_recovery,100.50,0.10,对应（原文中间量经舍入）
appendix_c1,1/2,lower_ci,96.06,0.10,对应（原文中间量经舍入）
appendix_c1,1/2,upper_ci,104.89,0.10,对应（原文中间量经舍入）
appendix_c1,1/4,mean_recovery,104.99,0.10,对应（原文中间量经舍入）
appendix_c1,1/4,lower_ci,101.45,0.10,对应（原文中间量经舍入）
appendix_c1,1/4,upper_ci,108.50,0.10,对应（原文中间量经舍入）
appendix_c1,1/10,mean_recovery,115.13,0.10,对应（原文中间量经舍入）
appendix_c1,1/10,lower_ci,111.33,0.10,对应（原文中间量经舍入）
appendix_c1,1/10,upper_ci,119.05,0.10,对应（原文中间量经舍入）
appendix_c1,1/20,mean_recovery,135.49,0.10,对应（原文中间量经舍入）
appendix_c1,1/20,lower_ci,124.43,0.10,对应（原文中间量经舍入）
appendix_c1,1/20,upper_ci,146.69,0.10,对应（原文中间量经舍入）
appendix_c2,neat,mean_recovery,100.00,0.25,对应（原文仅公布舍入均值）
appendix_c2,neat,lower_ci,100.00,0.25,对应（原文仅公布舍入均值）
appendix_c2,neat,upper_ci,100.00,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/2,mean_recovery,101.33,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/2,lower_ci,97.95,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/2,upper_ci,104.71,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/10,mean_recovery,101.55,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/10,lower_ci,95.31,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/10,upper_ci,107.80,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/50,mean_recovery,102.35,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/50,lower_ci,96.88,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/50,upper_ci,107.81,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/200,mean_recovery,102.71,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/200,lower_ci,96.82,0.25,对应（原文仅公布舍入均值）
appendix_c2,1/200,upper_ci,108.60,0.25,对应（原文仅公布舍入均值）
appendix_d,heterophilic,corrected_concentration,38.60,0.005,对应
appendix_d,heterophilic,recovery,767,0.50,对应（原文按整数）
appendix_d,nonheterophilic,corrected_concentration,264,0.005,对应
appendix_d,nonheterophilic,recovery,130,0.10,对应（原文按整数）
