"sample","site","day","replicate","result","unit"
"P1",2,2,3,11.0,"kU/L"
"P1",3,2,3,11.9,"kU/L"
"Q3",1,2,3,58.4,"kU/L"
"Q3",2,2,3,49.8,"kU/L"
"Q3",3,2,3,57.9,"kU/L"
"P5",1,2,3,374.2,"kU/L"
"P5",2,2,3,363.3,"kU/L"
"P5",3,2,3,377.0,"kU/L"
"P1",1,2,4,12.2,"kU/L"
"P1",2,2,4,13.8,"kU/L"
"P1",3,2,4,12.1,"kU/L"
"Q3",1,2,4,57.3,"kU/L"
"Q3",2,2,4,51.4,"kU/L"
"Q3",3,2,4,57.5,"kU/L"
"P5",1,2,4,379.8,"kU/L"
"P5",2,2,4,379.1,"kU/L"
"P5",3,2,4,380.4,"kU/L"
"P1",1,2,5,11.5,"kU/L"
"P1",2,2,5,11.4,"kU/L"
"P1",3,2,5,11.7,"kU/L"
"Q3",1,2,5,56.5,"kU/L"
"Q3",2,2,5,49.0,"kU/L"
"Q3",3,2,5,55.9,"kU/L"
"P5",1,2,5,368.1,"kU/L"
"P5",2,2,5,366.7,"kU/L"
"P5",3,2,5,371.6,"kU/L"
"P1",1,3,1,12.0,"kU/L"
"P1",2,3,1,14.7,"kU/L"
"P1",3,3,1,12.0,"kU/L"
"Q3",1,3,1,57.7,"kU/L"
"Q3",2,3,1,55.1,"kU/L"
"Q3",3,3,1,57.2,"kU/L"
"P5",1,3,1,381.0,"kU/L"
"P5",2,3,1,375.1,"kU/L"
"P5",3,3,1,380.6,"kU/L"
"P1",1,3,2,11.9,"kU/L"
"P1",2,3,2,13.7,"kU/L"
"P1",3,3,2,11.7,"kU/L"
"Q3",1,3,2,56.7,"kU/L"
"Q3",2,3,2,55.0,"kU/L"
"Q3",3,3,2,57.7,"kU/L"
"P5",1,3,2,380.1,"kU/L"
"P5",2,3,2,382.1,"kU/L"
"P5",3,3,2,377.7,"kU/L"
"P1",1,3,3,11.4,"kU/L"
"P1",2,3,3,13.2,"kU/L"
"P1",3,3,3,11.5,"kU/L"
"Q3",1,3,3,58.6,"kU/L"
"Q3",2,3,3,54.1,"kU/L"
"Q3",3,3,3,57.4,"kU/L"
"P5",1,3,3,375.3,"kU/L"
"P5",2,3,3,371.3,"kU/L"
"P5",3,3,3,375.2,"kU/L"
"P1",1,3,4,11.6,"kU/L"
"P1",2,3,4,13.2,"kU/L"
"P1",3,3,4,11.8,"kU/L"
"Q3",1,3,4,56.1,"kU/L"
"Q3",2,3,4,52.5,"kU/L"
"Q3",3,3,4,56.3,"kU/L"
"P5",1,3,4,375.0,"kU/L"
"P5",2,3,4,374.3,"kU/L"
"P5",3,3,4,387.6,"kU/L"
"P1",1,3,5,11.9,"kU/L"
"P1",2,3,5,13.1,"kU/L"
"P1",3,3,5,11.7,"kU/L"
"Q3",1,3,5,55.2,"kU/L"
"Q3",2,3,5,54.5,"kU/L"
"Q3",3,3,5,56.5,"kU/L"
"P5",1,3,5,375.0,"kU/L"
"P5",2,3,5,370.1,"kU/L"
"P5",3,3,5,373.2,"kU/L"
"P1",1,4,1,11.9,"kU/L"
"P1",2,4,1,13.6,"kU/L"
"P1",3,4,1,11.5,"kU/L"
"Q3",1,4,1,56.5,"kU/L"
"Q3",2,4,1,55.2,"kU/L"
"Q3",3,4,1,57.5,"kU/L"
"P5",1,4,1,400.2,"kU/L"
"P5",2,4,1,372.7,"kU/L"
"P5",3,4,1,393.2,"kU/L"
"P1",1,4,2,11.1,"kU/L"
"P1",2,4,2,13.5,"kU/L"
"P1",3,4,2,11.8,"kU/L"
"Q3",1,4,2,58.4,"kU/L"
"Q3",2,4,2,56.1,"kU/L"
"Q3",3,4,2,56.9,"kU/L"
"P5",1,4,2,386.2,"kU/L"
"P5",2,4,2,376.1,"kU/L"
"P5",3,4,2,375.4,"kU/L"
"P1",1,4,3,12.4,"kU/L"
"P1",2,4,3,12.8,"kU/L"
"P1",3,4,3,11.9,"kU/L"
"Q3",1,4,3,55.4,"kU/L"
"Q3",2,4,3,55.2,"kU/L"
"Q3",3,4,3,55.6,"kU/L"
"P5",1,4,3,364.6,"kU/L"
"P5",2,4,3,363.9,"kU/L"
"P5",3,4,3,367.9,"kU/L"
"P1",1,4,4,11.3,"kU/L"
"P1",2,4,4,12.3,"kU/L"
"P1",3,4,4,12.3,"kU/L"
"Q3",1,4,4,55.7,"kU/L"
"Q3",2,4,4,55.8,"kU/L"
"Q3",3,4,4,56.3,"kU/L"
"P5",1,4,4,371.1,"kU/L"
"P5",2,4,4,371.4,"kU/L"
"P5",3,4,4,378.1,"kU/L"
"P1",1,4,5,11.5,"kU/L"
"P1",2,4,5,12.0,"kU/L"
"P1",3,4,5,12.6,"kU/L"
"Q3",1,4,5,57.7,"kU/L"
"Q3",2,4,5,54.9,"kU/L"
"Q3",3,4,5,56.1,"kU/L"
"P5",1,4,5,371.3,"kU/L"
"P5",2,4,5,370.8,"kU/L"
"P5",3,4,5,378.3,"kU/L"
"P1",1,5,1,13.3,"kU/L"
"P1",2,5,1,14.1,"kU/L"
"P1",3,5,1,12.0,"kU/L"
"Q3",1,5,1,56.9,"kU/L"
"Q3",2,5,1,54.5,"kU/L"
"Q3",3,5,1,56.6,"kU/L"
"P5",1,5,1,385.1,"kU/L"
"P5",2,5,1,365.7,"kU/L"
"P5",3,5,1,387.9,"kU/L"
"P1",1,5,2,10.7,"kU/L"
"P1",2,5,2,12.8,"kU/L"
"P1",3,5,2,10.5,"kU/L"
"Q3",1,5,2,56.3,"kU/L"
"Q3",2,5,2,55.9,"kU/L"
"Q3",3,5,2,56.3,"kU/L"
"P5",1,5,2,390.6,"kU/L"
"P5",2,5,2,371.2,"kU/L"
"P5",3,5,2,388.4,"kU/L"
"P1",1,5,3,10.3,"kU/L"
"P1",2,5,3,12.2,"kU/L"
"P1",3,5,3,10.5,"kU/L"
"Q3",1,5,3,56.3,"kU/L"
"Q3",2,5,3,51.7,"kU/L"
"Q3",3,5,3,56.0,"kU/L"
"P5",1,5,3,386.2,"kU/L"
"P5",2,5,3,387.5,"kU/L"
"P5",3,5,3,381.8,"kU/L"
"P1",1,5,4,10.7,"kU/L"
"P1",2,5,4,15.8,"kU/L"
"P1",3,5,4,11.2,"kU/L"
"Q3",1,5,4,55.7,"kU/L"
"Q3",2,5,4,50.0,"kU/L"
"Q3",3,5,4,55.7,"kU/L"
"P5",1,5,4,377.4,"kU/L"
"P5",2,5,4,385.5,"kU/L"
"P5",3,5,4,382.7,"kU/L"
"P1",1,5,5,11.9,"kU/L"
"P1",2,5,5,13.3,"kU/L"
"P1",3,5,5,11.1,"kU/L"
"Q3",1,5,5,55.0,"kU/L"
"Q3",2,5,5,54.2,"kU/L"
"Q3",3,5,5,57.0,"kU/L"
"P5",1,5,5,384.9,"kU/L"
"P5",2,5,5,367.3,"kU/L"
"P5",3,5,5,383.7,"kU/L"
"P2",1,1,1,45.0,"kU/L"
"P2",2,1,1,40.6,"kU/L"
"P2",3,1,1,45.1,"kU/L"
"Q4",1,1,1,175.0,"kU/L"
"Q4",2,1,1,156.6,"kU/L"
"Q4",3,1,1,171.2,"kU/L"
"Q6",1,1,1,433.9,"kU/L"
"Q6",2,1,1,410.9,"kU/L"
"Q6",3,1,1,434.3,"kU/L"
"P2",1,1,2,45.1,"kU/L"
"P2",2,1,2,39.3,"kU/L"
"P2",3,1,2,43.8,"kU/L"
"Q4",1,1,2,167.3,"kU/L"
"Q4",2,1,2,157.7,"kU/L"
"Q4",3,1,2,168.5,"kU/L"
"Q6",1,1,2,434.6,"kU/L"
"Q6",2,1,2,416.3,"kU/L"
"Q6",3,1,2,429.8,"kU/L"
"P2",1,1,3,42.4,"kU/L"
"P2",2,1,3,41.4,"kU/L"
"P2",3,1,3,42.4,"kU/L"
"Q4",1,1,3,169.7,"kU/L"
"Q4",2,1,3,155.8,"kU/L"
"Q4",3,1,3,168.8,"kU/L"
"Q6",1,1,3,424.9,"kU/L"
"Q6",2,1,3,391.8,"kU/L"
"Q6",3,1,3,425.1,"kU/L"
"P2",1,1,4,42.4,"kU/L"
"P2",2,1,4,40.3,"kU/L"
"P2",3,1,4,42.4,"kU/L"
"Q4",1,1,4,167.8,"kU/L"
"Q4",2,1,4,160.8,"kU/L"
"Q4",3,1,4,167.6,"kU/L"
"Q6",1,1,4,425.2,"kU/L"
"Q6",2,1,4,390.7,"kU/L"
"Q6",3,1,4,422.9,"kU/L"
"P2",1,1,5,42.5,"kU/L"
"P2",2,1,5,37.3,"kU/L"
"P2",3,1,5,42.1,"kU/L"
"Q4",1,1,5,170.5,"kU/L"
"Q4",2,1,5,153.6,"kU/L"
"Q4",3,1,5,170.5,"kU/L"
"Q6",1,1,5,424.9,"kU/L"
"Q6",2,1,5,388.4,"kU/L"
"Q6",3,1,5,417.8,"kU/L"
"P2",1,2,1,42.4,"kU/L"
"P2",2,2,1,38.2,"kU/L"
"P2",3,2,1,42.1,"kU/L"
"Q4",1,2,1,167.3,"kU/L"
"Q4",2,2,1,162.7,"kU/L"
"Q4",3,2,1,167.0,"kU/L"
"Q6",1,2,1,420.6,"kU/L"
"Q6",2,2,1,401.2,"kU/L"
"Q6",3,2,1,429.1,"kU/L"
"P2",1,2,2,41.7,"kU/L"
"P2",2,2,2,37.5,"kU/L"
"P2",3,2,2,42.4,"kU/L"
"Q4",1,2,2,166.7,"kU/L"
"Q4",2,2,2,157.1,"kU/L"
"Q4",3,2,2,169.4,"kU/L"
"Q6",1,2,2,437.5,"kU/L"
"Q6",2,2,2,409.0,"kU/L"
"Q6",3,2,2,425.6,"kU/L"
"P2",1,2,3,43.0,"kU/L"
"P2",2,2,3,38.7,"kU/L"
"P2",3,2,3,42.4,"kU/L"
"Q4",1,2,3,172.0,"kU/L"
"Q4",2,2,3,156.1,"kU/L"
"Q4",3,2,3,171.1,"kU/L"
"Q6",1,2,3,413.6,"kU/L"
"Q6",2,2,3,397.0,"kU/L"
"Q6",3,2,3,414.9,"kU/L"
"P2",1,2,4,41.8,"kU/L"
"P2",2,2,4,43.0,"kU/L"
"P2",3,2,4,43.5,"kU/L"
"Q4",1,2,4,170.1,"kU/L"
"Q4",2,2,4,149.5,"kU/L"
"Q4",3,2,4,168.8,"kU/L"
"Q6",1,2,4,416.2,"kU/L"
"Q6",2,2,4,395.7,"kU/L"
"Q6",3,2,4,419.6,"kU/L"
"P2",1,2,5,41.6,"kU/L"
"P2",2,2,5,40.7,"kU/L"
"P2",3,2,5,41.9,"kU/L"
"Q4",1,2,5,170.5,"kU/L"
"Q4",2,2,5,157.0,"kU/L"
"Q4",3,2,5,169.4,"kU/L"
"Q6",1,2,5,410.7,"kU/L"
"Q6",2,2,5,384.1,"kU/L"
"Q6",3,2,5,414.3,"kU/L"
"P2",1,3,1,45.1,"kU/L"
"P2",2,3,1,42.1,"kU/L"
"P2",3,3,1,43.9,"kU/L"
"Q4",1,3,1,167.4,"kU/L"
"Q4",2,3,1,159.9,"kU/L"
"Q4",3,3,1,168.1,"kU/L"
"Q6",1,3,1,423.0,"kU/L"
"Q6",2,3,1,401.4,"kU/L"
"Q6",3,3,1,417.9,"kU/L"
"P2",1,3,2,42.7,"kU/L"
"P2",2,3,2,41.3,"kU/L"
"P2",3,3,2,42.2,"kU/L"
"Q4",1,3,2,168.8,"kU/L"
"Q4",2,3,2,163.8,"kU/L"
"Q4",3,3,2,169.7,"kU/L"
"Q6",1,3,2,412.7,"kU/L"
"Q6",2,3,2,411.9,"kU/L"
"Q6",3,3,2,419.7,"kU/L"
"P2",1,3,3,41.6,"kU/L"
"P2",2,3,3,40.5,"kU/L"
"P2",3,3,3,41.3,"kU/L"
"Q4",1,3,3,170.5,"kU/L"
"Q4",2,3,3,160.9,"kU/L"
"Q4",3,3,3,173.5,"kU/L"
"Q6",1,3,3,426.7,"kU/L"
"Q6",2,3,3,392.2,"kU/L"
"Q6",3,3,3,431.0,"kU/L"
"P2",1,3,4,41.0,"kU/L"
"P2",2,3,4,38.8,"kU/L"
"P2",3,3,4,41.4,"kU/L"
"Q4",1,3,4,176.5,"kU/L"
"Q4",2,3,4,164.4,"kU/L"
"Q4",3,3,4,174.9,"kU/L"
"Q6",1,3,4,435.3,"kU/L"
"Q6",2,3,4,409.3,"kU/L"
"Q6",3,3,4,435.6,"kU/L"
"P2",1,3,5,42.2,"kU/L"
"P2",2,3,5,39.9,"kU/L"
"P2",3,3,5,42.0,"kU/L"
"Q4",1,3,5,168.2,"kU/L"
"Q4",2,3,5,156.3,"kU/L"
"Q4",3,3,5,167.8,"kU/L"
"Q6",1,3,5,417.9,"kU/L"
"Q6",2,3,5,391.9,"kU/L"
"Q6",3,3,5,422.6,"kU/L"
"P2",1,4,1,41.8,"kU/L"
"P2",2,4,1,40.9,"kU/L"
"P2",3,4,1,43.1,"kU/L"
"Q4",1,4,1,173.3,"kU/L"
"Q4",2,4,1,162.2,"kU/L"
"Q4",3,4,1,172.4,"kU/L"
"Q6",1,4,1,435.9,"kU/L"
"Q6",2,4,1,395.9,"kU/L"
"Q6",3,4,1,430.4,"kU/L"
"P2",1,4,2,44.4,"kU/L"
"P2",2,4,2,40.7,"kU/L"
"P2",3,4,2,43.6,"kU/L"
"Q4",1,4,2,171.4,"kU/L"
"Q4",2,4,2,164.6,"kU/L"
"Q4",3,4,2,167.8,"kU/L"
"Q6",1,4,2,424.9,"kU/L"
"Q6",2,4,2,415.7,"kU/L"
"Q6",3,4,2,415.8,"kU/L"
"P2",1,4,3,42.8,"kU/L"
"P2",2,4,3,39.6,"kU/L"
"P2",3,4,3,42.1,"kU/L"
"Q4",1,4,3,164.1,"kU/L"
"Q4",2,4,3,161.5,"kU/L"
"Q4",3,4,3,165.5,"kU/L"
"Q6",1,4,3,406.6,"kU/L"
"Q6",2,4,3,400.5,"kU/L"
"Q6",3,4,3,416.2,"kU/L"
"P2",1,4,4,41.4,"kU/L"
"P2",2,4,4,40.1,"kU/L"
"P2",3,4,4,41.3,"kU/L"
"Q4",1,4,4,166.9,"kU/L"
"Q4",2,4,4,159.2,"kU/L"
"Q4",3,4,4,165.9,"kU/L"
"Q6",1,4,4,425.8,"kU/L"
"Q6",2,4,4,409.4,"kU/L"
"Q6",3,4,4,421.9,"kU/L"
"P2",1,4,5,41.8,"kU/L"
"P2",2,4,5,39.5,"kU/L"
"P2",3,4,5,42.8,"kU/L"
"Q4",1,4,5,167.4,"kU/L"
"Q4",2,4,5,157.9,"kU/L"
"Q4",3,4,5,166.0,"kU/L"
"Q6",1,4,5,427.2,"kU/L"
"Q6",2,4,5,390.8,"kU/L"
"Q6",3,4,5,415.2,"kU/L"
"P2",1,5,1,41.2,"kU/L"
"P2",2,5,1,40.8,"kU/L"
"P2",3,5,1,41.1,"kU/L"
"Q4",1,5,1,164.8,"kU/L"
"Q4",2,5,1,158.2,"kU/L"
"Q4",3,5,1,166.0,"kU/L"
"Q6",1,5,1,418.0,"kU/L"
"Q6",2,5,1,410.5,"kU/L"
"Q6",3,5,1,416.9,"kU/L"
"P2",1,5,2,40.9,"kU/L"
"P2",2,5,2,40.6,"kU/L"
"P2",3,5,2,41.0,"kU/L"
"Q4",1,5,2,167.1,"kU/L"
"Q4",2,5,2,162.9,"kU/L"
"Q4",3,5,2,167.2,"kU/L"
"Q6",1,5,2,415.8,"kU/L"
"Q6",2,5,2,399.7,"kU/L"
"Q6",3,5,2,412.5,"kU/L"
"P2",1,5,3,41.1,"kU/L"
"P2",2,5,3,41.4,"kU/L"
"P2",3,5,3,40.7,"kU/L"
"Q4",1,5,3,167.3,"kU/L"
"Q4",2,5,3,162.4,"kU/L"
"Q4",3,5,3,166.6,"kU/L"
"Q6",1,5,3,409.2,"kU/L"
"Q6",2,5,3,387.9,"kU/L"
"Q6",3,5,3,410.2,"kU/L"
"P2",1,5,4,40.2,"kU/L"
"P2",2,5,4,41.4,"kU/L"
"P2",3,5,4,41.4,"kU/L"
"Q4",1,5,4,165.8,"kU/L"
"Q4",2,5,4,159.6,"kU/L"
"Q4",3,5,4,168.2,"kU/L"
"Q6",1,5,4,411.1,"kU/L"
"Q6",2,5,4,398.9,"kU/L"
"Q6",3,5,4,418.0,"kU/L"
"P2",1,5,5,40.9,"kU/L"
"P2",2,5,5,37.3,"kU/L"
"P2",3,5,5,43.9,"kU/L"
"Q4",1,5,5,165.8,"kU/L"
"Q4",2,5,5,160.6,"kU/L"
"Q4",3,5,5,168.8,"kU/L"
"Q6",1,5,5,423.2,"kU/L"
"Q6",2,5,5,382.5,"kU/L"
"Q6",3,5,5,415.2,"kU/L"
