"site","sample","day","run","rep","value"
"A","S2",3,2,5,99.45
"A","S2",3,3,1,102.95
"A","S2",3,3,2,101.79
"A","S2",3,3,3,101.87
"A","S2",3,3,4,100.49
"A","S2",3,3,5,97.31
"A","S3",1,1,1,203.66
"A","S3",1,1,2,202.01
"A","S3",1,1,3,195.11
"A","S3",1,1,4,203.04
"A","S3",1,1,5,192.19
"A","S3",1,2,1,203.63
"A","S3",1,2,2,209.61
"A","S3",1,2,3,206.01
"A","S3",1,2,4,207.55
"A","S3",1,2,5,198.06
"A","S3",1,3,1,210.49
"A","S3",1,3,2,211.87
"A","S3",1,3,3,204.24
"A","S3",1,3,4,200.61
"A","S3",1,3,5,205.02
"A","S3",2,1,1,208.29
"A","S3",2,1,2,202.56
"A","S3",2,1,3,206.39
"A","S3",2,1,4,198.37
"A","S3",2,1,5,207.63
"A","S3",2,2,1,197.48
"A","S3",2,2,2,211.34
"A","S3",2,2,3,208.79
"A","S3",2,2,4,206
"A","S3",2,2,5,208.49
"A","S3",2,3,1,207.68
"A","S3",2,3,2,207.09
"A","S3",2,3,3,201.19
"A","S3",2,3,4,205.02
"A","S3",2,3,5,209.35
"A","S3",3,1,1,194.94
"A","S3",3,1,2,199.55
"A","S3",3,1,3,199.15
"A","S3",3,1,4,205.56
"A","S3",3,1,5,205.9
"A","S3",3,2,1,199.63
"A","S3",3,2,2,197.65
"A","S3",3,2,3,192.54
"A","S3",3,2,4,207.02
"A","S3",3,2,5,196.53
"A","S3",3,3,1,210.22
"A","S3",3,3,2,199.16
"A","S3",3,3,3,196.8
"A","S3",3,3,4,204.77
"A","S3",3,3,5,199.7
"B","S1",1,1,1,48.4
"B","S1",1,1,2,50.91
"B","S1",1,1,3,51.18
"B","S1",1,1,4,50.34
"B","S1",1,1,5,48.8
"B","S1",1,2,1,52.84
"B","S1",1,2,2,49.44
"B","S1",1,2,3,47.52
"B","S1",1,2,4,49.52
"B","S1",1,2,5,48.25
"B","S1",1,3,1,50.51
"B","S1",1,3,2,51.48
"B","S1",1,3,3,49.88
"B","S1",1,3,4,54.17
"B","S1",1,3,5,52.41
"B","S1",2,1,1,48.74
"B","S1",2,1,2,48.78
"B","S1",2,1,3,49.31
"B","S1",2,1,4,51.62
"B","S1",2,1,5,50.43
"B","S1",2,2,1,49.33
"B","S1",2,2,2,50.08
"B","S1",2,2,3,51.02
"B","S1",2,2,4,51.5
"B","S1",2,2,5,51.02
"B","S1",2,3,1,49.86
"B","S1",2,3,2,50.84
"B","S1",2,3,3,48.71
"B","S1",2,3,4,50.69
"B","S1",2,3,5,49.53
"B","S1",3,1,1,48.8
"B","S1",3,1,2,50.97
"B","S1",3,1,3,49.92
"B","S1",3,1,4,50.12
"B","S1",3,1,5,47.66
"B","S1",3,2,1,48.29
"B","S1",3,2,2,51.9
"B","S1",3,2,3,52.13
"B","S1",3,2,4,50.9
"B","S1",3,2,5,51.29
"B","S1",3,3,1,49.48
"B","S1",3,3,2,48.06
"B","S1",3,3,3,48.25
"B","S1",3,3,4,48.99
"B","S1",3,3,5,49.04
"B","S2",1,1,1,97.97
"B","S2",1,1,2,101.09
"B","S2",1,1,3,102.41
"B","S2",1,1,4,101.8
"B","S2",1,1,5,102.06
"B","S2",1,2,1,96.44
"B","S2",1,2,2,94.26
"B","S2",1,2,3,98.28
"B","S2",1,2,4,99.39
"B","S2",1,2,5,98.93
"B","S2",1,3,1,95.82
"B","S2",1,3,2,99.61
"B","S2",1,3,3,101.32
"B","S2",1,3,4,103.75
"B","S2",1,3,5,107.92
"B","S2",2,1,1,98.68
"B","S2",2,1,2,98.8
"B","S2",2,1,3,97.83
"B","S2",2,1,4,102.69
"B","S2",2,1,5,102.62
"B","S2",2,2,1,97.87
"B","S2",2,2,2,97.31
"B","S2",2,2,3,98.8
"B","S2",2,2,4,99.16
"B","S2",2,2,5,97.9
"B","S2",2,3,1,99.93
"B","S2",2,3,2,101.52
"B","S2",2,3,3,101.51
"B","S2",2,3,4,96.6
"B","S2",2,3,5,99.48
"B","S2",3,1,1,104.24
"B","S2",3,1,2,103.14
"B","S2",3,1,3,104.52
"B","S2",3,1,4,102.39
"B","S2",3,1,5,100.6
"B","S2",3,2,1,99.34
"B","S2",3,2,2,99.37
"B","S2",3,2,3,101.08
"B","S2",3,2,4,104.21
"B","S2",3,2,5,96.82
"B","S2",3,3,1,98.7
"B","S2",3,3,2,102.47
"B","S2",3,3,3,99.37
"B","S2",3,3,4,97.89
"B","S2",3,3,5,103.82
"B","S3",1,1,1,209.1
"B","S3",1,1,2,187.81
"B","S3",1,1,3,188.62
"B","S3",1,1,4,188.95
"B","S3",1,1,5,191.38
"B","S3",1,2,1,200.52
"B","S3",1,2,2,196.08
"B","S3",1,2,3,196.63
"B","S3",1,2,4,197.59
"B","S3",1,2,5,198.15
"B","S3",1,3,1,194.98
"B","S3",1,3,2,195.73
"B","S3",1,3,3,200.49
"B","S3",1,3,4,191.81
"B","S3",1,3,5,186.4
"B","S3",2,1,1,193.22
"B","S3",2,1,2,196.81
"B","S3",2,1,3,199.33
"B","S3",2,1,4,199.17
"B","S3",2,1,5,190.52
"B","S3",2,2,1,193.68
"B","S3",2,2,2,190.64
"B","S3",2,2,3,201.85
"B","S3",2,2,4,202.44
"B","S3",2,2,5,200.28
"B","S3",2,3,1,205.77
"B","S3",2,3,2,205.36
"B","S3",2,3,3,196.18
"B","S3",2,3,4,196.84
"B","S3",2,3,5,192.25
"B","S3",3,1,1,200.59
"B","S3",3,1,2,195.47
"B","S3",3,1,3,184.99
"B","S3",3,1,4,201.93
"B","S3",3,1,5,196.32
"B","S3",3,2,1,196.67
"B","S3",3,2,2,201.12
"B","S3",3,2,3,199.37
"B","S3",3,2,4,193.96
"B","S3",3,2,5,194.41
"B","S3",3,3,1,199.86
"B","S3",3,3,2,186.41
"B","S3",3,3,3,197.98
"B","S3",3,3,4,197.99
"B","S3",3,3,5,203.79
