dataset,sample,comparative,candidate
D4,30,298.821,330.309
D4,31,276.827,306.107
D4,32,362.759,397.674
D4,33,439.989,452.057
D4,34,434.477,422.399
D4,35,572.399,466.581
D4,36,689.940,484.590
D4,37,538.316,660.415
D4,38,612.061,801.227
D4,39,734.508,747.958
D4,40,785.566,704.414
D5,1,10.041,9.973
D5,2,10.184,9.943
D5,3,10.121,12.442
D5,4,10.520,10.263
D5,5,11.042,10.506
D5,6,11.298,11.040
D5,7,10.514,10.968
D5,8,10.995,11.305
D5,9,10.626,11.079
D5,10,11.434,11.956
D5,11,11.890,11.925
D5,12,12.161,11.875
D5,13,12.274,12.228
D5,14,11.927,12.356
D5,15,12.469,11.674
D5,16,12.647,12.200
D5,17,12.499,12.422
D5,18,13.154,12.239
D5,19,13.449,12.656
D5,20,12.804,12.996
D5,21,13.270,13.203
D5,22,13.794,13.264
D5,23,13.358,13.840
D5,24,14.287,14.026
D5,25,14.203,14.015
D5,26,14.150,13.651
D5,27,14.080,14.187
D5,28,14.680,14.767
D5,29,14.404,14.597
D5,30,14.932,14.464
D5,31,15.146,15.119
D5,32,15.132,14.948
D5,33,15.525,15.128
D5,34,15.196,15.671
D5,35,15.508,15.722
D5,36,15.824,15.758
D5,37,16.130,15.991
D5,38,15.925,16.492
D5,39,16.161,16.600
D5,40,16.300,16.511
D6,1,10.041,10.273
D6,2,10.184,11.243
D6,3,10.121,9.742
D6,4,10.520,10.563
D6,5,11.042,10.806
D6,6,11.298,11.340
D6,7,10.514,11.268
D6,8,10.995,11.605
D6,9,10.626,11.379
D6,10,11.434,12.256
D6,11,11.890,12.225
D6,12,12.161,12.175
D6,13,12.274,12.528
D6,14,11.927,12.656
D6,15,12.469,11.974
D6,16,12.647,12.500
D6,17,12.499,12.722
D6,18,13.154,12.539
D6,19,13.449,12.956
D6,20,12.804,13.296
D6,21,13.270,13.503
D6,22,13.794,13.564
D6,23,13.358,14.140
D6,24,14.287,14.326
D6,25,14.203,14.315
D6,26,14.150,13.951
D6,27,14.080,14.487
D6,28,14.680,15.067
D6,29,14.404,14.897
D6,30,14.932,14.764
D6,31,15.146,15.419
D6,32,15.132,15.248
D6,33,15.525,15.428
D6,34,15.196,15.971
D6,35,15.508,16.022
D6,36,15.824,16.058
D6,37,16.130,16.291
D6,38,15.925,16.792
D6,39,16.161,16.900
D6,40,16.300,16.811

